Document,DSI_Title,Filename
0,1995_Beijing Declaration,Agendas in text\1_1995_Beijing Declaration.txt
1,2000_Millennium Declaration,Agendas in text\2_2000_Millennium Declaration.txt
2,"2000_Women, Peace and Security","Agendas in text\3_2000_Women, Peace and Security.txt"
3,2002_Monterrey Consensus,Agendas in text\4_2002_Monterrey Consensus.txt
4,2005_Mauritius Declaration,Agendas in text\5_2005_Mauritius Declaration.txt
5,2005_World Summit Declaration,Agendas in text\6_2005_World Summit Declaration.txt
6,2008_Doha Declaration,Agendas in text\7_2008_Doha Declaration.txt
7,2011_Istanbul Declaration (Programme),Agendas in text\8_2011_Istanbul Declaration (Programme).txt
8,2011_Istanbul Declaration,Agendas in text\8_2011_Istanbul Declaration.txt
9,2012_Rio+20,Agendas in text\9_2012_Rio+20.txt
10,2014_Samoa Pathway,Agendas in text\10_2014_Samoa Pathway.txt
11,2015_Doha Declaration,Agendas in text\11_2015_Doha Declaration.txt
12,2015_Addis Ababa Action Agenda,Agendas in text\12_2015_Addis Ababa Action Agenda.txt
13,2015_Vienna Declaration,Agendas in text\13_2015_Vienna Declaration.txt
14,2015_Sendai Framework,Agendas in text\14_2015_Sendai Framework.txt
15,2015_Paris Agreement,Agendas in text\15_2015_Paris Agreement.txt
16,2015_Agenda 2030,Agendas in text\16_2015_Agenda 2030.txt
17,2016_Sustaining Peace (Resolution 2282),Agendas in text\17_2016_Sustaining Peace (Resolution 2282).txt
18,2016_Sustaining Peace,Agendas in text\17_2016_Sustaining Peace.txt
19,2016_Countering Drugs,Agendas in text\18_2016_Countering Drugs.txt
20,2016_New Urban Agenda,Agendas in text\19_2016_New Urban Agenda.txt
21,2017_Ocean Declaration,Agendas in text\20_2017_Ocean Declaration.txt
22,2017_2030 Agenda and Agenda 2063 (Agenda 2063),Agendas in text\21_2017_2030 Agenda and Agenda 2063 (Agenda 2063).txt
23,2017_2030 Agenda and Agenda 2063,Agendas in text\21_2017_2030 Agenda and Agenda 2063.txt
24,2018_Young Peace and Security (Resolution 2250),Agendas in text\22_2018_Young Peace and Security (Resolution 2250).txt
25,"2018_Young, Peace and Security (Resolution 2419)","Agendas in text\22_2018_Young, Peace and Security (Resolution 2419).txt"
26,2018_Action for Peacekeeping,Agendas in text\23_2018_Action for Peacekeeping.txt
27,2018_Migration,Agendas in text\24_2018_Migration.txt
28,2018_Refugees,Agendas in text\25_2018_Refugees.txt
